src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts,flow_type,is_periodic
127.0.0.1,127.0.0.1,44000,8443,2048,2026-01-25 18:36:05,0.01955,365933.5038363171,971.867007672634,562.6598465473145,409.20716112531966,11,8,2575,4579,1641,60,234.0909090909091,446.32203101785245,3265,72,572.375,1030.123650041586,3265,60,376.5263157894737,768.1315244026658,590026.0387811633,220,160,20,4,0.0010861111111111,0.007895,0.0,0.0023904142804331,0.0195499999999999,0.007911,0.0,0.001955,0.0030474004987858,0.019516,0.007895,3.9e-05,0.002788,0.0031625504174411,4,5,0,0,1,3,1,9,16,0,0,0.7272727272727273,376.5263157894737,65495,65483,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,234.0909090909091,572.375,0,11,8,2575,4579,Bulk Transfer,True
172.21.0.2,172.21.0.5,51370,8443,2048,2026-01-25 18:36:07,1.776858,2742.4813913098287,10.69303230759014,6.753494089004298,3.9395382185858407,12,7,1418,3455,366,72,118.16666666666669,88.63956352680343,2199,72,493.57142857142856,715.8515123648913,2199,72,256.4736842105263,475.972176146226,226549.512465374,240,140,20,3,0.0987143333333333,1.701557,0.0,0.388868895512785,1.776858,1.701557,0.0,0.1615325454545454,0.4872084497342279,1.776836,1.742752,4.7e-05,0.2961393333333333,0.6469664066759744,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.4736842105263,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,118.16666666666669,493.57142857142856,0,12,7,1418,3455,Bulk Transfer,False
172.21.0.2,172.21.0.5,51396,8443,2048,2026-01-25 18:36:07,0.941557,5175.46999278854,20.179341240094864,12.744847099007282,7.434494141087581,12,7,1418,3455,366,72,118.16666666666669,88.63956352680343,2199,72,493.57142857142856,715.8515123648913,2199,72,256.4736842105263,475.972176146226,226549.512465374,240,140,20,3,0.0523087222222222,0.822376,0.0,0.1872512978052653,0.941557,0.822376,0.0,0.0855960909090909,0.2335845330976481,0.941544,0.863906,3.9e-05,0.1569239999999999,0.316500232117345,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.4736842105263,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,118.16666666666669,493.57142857142856,0,12,7,1418,3455,Bulk Transfer,False
172.21.0.2,172.21.0.5,51382,8443,2048,2026-01-25 18:36:07,1.459854,3338.0050333800505,13.015000130150002,8.2200000822,4.79500004795,12,7,1418,3455,366,72,118.16666666666669,88.63956352680343,2199,72,493.57142857142856,715.8515123648913,2199,72,256.4736842105263,475.972176146226,226549.512465374,240,140,20,3,0.081103,1.384618,0.0,0.3163047033654591,1.459854,1.384618,0.0,0.1327139999999999,0.3962364247734838,1.45984,1.426062,3.7e-05,0.2433066666666666,0.5289861992637951,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.4736842105263,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,118.16666666666669,493.57142857142856,0,12,7,1418,3455,Bulk Transfer,False
172.21.0.2,172.21.0.5,51404,8443,2048,2026-01-25 18:36:07,1.106642,4403.411401338464,17.16905738260431,10.84361518901325,6.325442193591062,12,7,1418,3455,366,72,118.16666666666669,88.63956352680343,2199,72,493.57142857142856,715.8515123648913,2199,72,256.4736842105263,475.972176146226,226549.512465374,240,140,20,3,0.0614801111111111,0.988291,0.0,0.2252041755422273,1.106642,0.988291,0.0,0.1006038181818182,0.281172323704236,1.106629,1.02925,4.2e-05,0.1844381666666666,0.3781200424426158,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.4736842105263,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,118.16666666666669,493.57142857142856,0,12,7,1418,3455,Bulk Transfer,False
172.21.0.2,172.21.0.5,51406,8443,2048,2026-01-25 18:36:07,2.108125,2311.5327601541658,9.012748295286096,5.692262081233324,3.320486214052772,12,7,1418,3455,366,72,118.16666666666669,88.63956352680343,2199,72,493.57142857142856,715.8515123648913,2199,72,256.4736842105263,475.972176146226,226549.512465374,240,140,20,3,0.1171180555555555,2.032796,0.0,0.464722223149183,2.108125,2.032796,0.0,0.1916477272727272,0.5824265890477826,2.108102,2.074033,4.2e-05,0.3513503333333334,0.770423959575217,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.4736842105263,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,118.16666666666669,493.57142857142856,0,12,7,1418,3455,Bulk Transfer,False
172.21.0.2,172.21.0.5,51414,8443,2048,2026-01-25 18:36:08,0.047292,101666.2437621585,359.46883193774846,211.4522540810285,148.01657785671995,10,7,1413,3395,375,72,141.3,116.93934325110604,2199,72,485.0,719.2972761164687,2199,72,282.8235294117647,499.6989959017232,249699.08650519035,200,140,20,3,0.00295575,0.041279,0.0,0.0099323416958187,0.047292,0.041406,0.0,0.0052546666666666,0.0128253438940248,0.047273,0.042028,2.7e-05,0.0078788333333333,0.0153182160560193,3,4,0,0,2,3,0,7,15,0,0,0.7,282.8235294117647,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,141.3,485.0,0,10,7,1413,3395,Bulk Transfer,True
172.21.0.2,172.21.0.5,51428,8443,2048,2026-01-25 18:36:08,0.085449,34710.76314526794,198.94908073821813,117.02887102248124,81.92020971573687,10,7,1688,1278,637,72,168.8,180.6376483460743,335,72,182.57142857142856,107.22853717025832,637,72,174.47058823529412,154.83696079769115,23974.484429065746,200,140,20,3,0.0053405625,0.043388,0.0,0.0138350604713565,0.085449,0.043388,0.0,0.0094943333333333,0.0173760020974011,0.085428,0.043552,2.8e-05,0.014238,0.0198291577817448,3,4,0,0,2,3,0,7,15,0,0,0.7,174.47058823529412,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,168.8,182.57142857142856,0,10,7,1688,1278,Bulk Transfer,False
172.21.0.2,172.21.0.5,51432,8443,2048,2026-01-25 18:36:09,0.04177,70576.96911659086,406.99066315537465,239.40627244433804,167.58439071103663,10,7,1653,1295,637,72,165.3,176.8298900073175,335,72,185.0,107.17675654197204,637,72,173.41176470588235,152.3722449728371,23217.301038062287,200,140,20,3,0.0026106249999999,0.039435,0.0,0.0095107311947807,0.04177,0.039536,0.0,0.0046411111111111,0.012340367808713,0.041753,0.040281,3e-05,0.0069588333333333,0.0149034763329082,3,4,0,0,2,3,0,7,15,0,0,0.7,173.41176470588235,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,165.3,185.0,0,10,7,1653,1295,Bulk Transfer,True
172.21.0.2,172.21.0.5,51436,8443,2048,2026-01-25 18:36:09,0.087418,33951.81770344781,194.46795854400696,114.39291679059234,80.07504175341464,10,7,1690,1278,637,72,169.0,180.87122490877317,335,72,182.57142857142856,107.22853717025832,637,72,174.58823529411765,154.99300129304868,24022.83044982699,200,140,20,3,0.005463625,0.044004,0.0,0.013994710634178,0.087418,0.044004,0.0,0.0097131111111111,0.0175441931415398,0.087403,0.044133,3.7e-05,0.0145671666666666,0.0203254448365971,3,4,0,0,2,3,0,7,15,0,0,0.7,174.58823529411765,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,169.0,182.57142857142856,0,10,7,1690,1278,Bulk Transfer,False
172.21.0.2,172.21.0.5,51448,8443,2048,2026-01-25 18:36:09,0.043881,109455.1172489232,387.411408126524,227.88906360383763,159.52234452268635,10,7,1384,3419,366,72,138.4,111.33301397159784,2199,72,488.4285714285714,717.8531201024457,2199,72,282.52941176470586,499.154357553212,249155.07266435985,200,140,20,3,0.0027425625,0.038009,0.0,0.0091464865246767,0.0438809999999999,0.03829,0.0,0.0048756666666666,0.0118627995852581,0.043862,0.038446,2.9e-05,0.0073103333333333,0.0139759618472416,3,4,0,0,2,3,0,7,15,0,0,0.7,282.52941176470586,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,138.4,488.4285714285714,0,10,7,1384,3419,Bulk Transfer,True
172.21.0.2,172.21.0.5,51454,8443,2048,2026-01-25 18:36:09,0.049392,61042.27405247813,384.677680596048,242.9543245869777,141.7233560090703,12,7,1698,1317,637,72,141.5,157.51163978153065,335,72,188.14285714285717,107.60964982144436,637,72,158.68421052631578,142.97517363867166,20441.90027700831,240,140,20,3,0.002744,0.040072,0.0,0.0091591996921128,0.049392,0.040301,0.0,0.0044901818181818,0.0114502487056608,0.049366,0.046903,3.4e-05,0.0082276666666666,0.0172979025575035,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,158.68421052631578,64240,65160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,141.5,188.14285714285717,0,12,7,1698,1317,Bulk Transfer,True
