src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
127.0.0.1,127.0.0.1,41976,8443,2048,2026-01-25 17:59:44,0.028008,255391.31676663808,678.3776063981719,392.7449300199943,285.6326763781776,11,8,2575,4578,1641,60,234.0909090909091,446.32203101785245,3265,72,572.25,1030.1697372278027,3265,60,376.4736842105263,768.1441317892209,590045.407202216,220,160,20,4,0.001556,0.013842,0.0,0.0035611051967362915,0.028008,0.013865,0.0,0.0028008,0.004565400372366043,0.027975,0.013842,2.8e-05,0.003996428571428571,0.004791953101879467,4,5,0,0,1,3,1,9,16,0,0,0.7272727272727273,376.4736842105263,65495,65483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.0909090909091,572.25,0,11,8,2575,4578
172.21.0.5,172.21.0.3,46024,8443,2048,2026-01-25 17:59:46,2.11178,2307.5320345869363,8.997149324266733,5.682410099536884,3.314739224729849,12,7,1418,3455,366,72,118.16666666666667,88.63956352680343,2199,72,493.57142857142856,715.8515123648913,2199,72,256.4736842105263,475.972176146226,226549.51246537396,240,140,20,3,0.11732111111111114,2.004775,0.0,0.45797116956697526,2.11178,2.004775,0.0,0.19198000000000004,0.5735193119419464,2.11173,2.047953,3.4e-05,0.351955,0.7586179447849007,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.4736842105263,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.16666666666667,493.57142857142856,0,12,7,1418,3455
172.21.0.5,172.21.0.3,46020,8443,2048,2026-01-25 17:59:46,1.809172,2693.4973568018963,10.502041818025042,6.632868516647394,3.869173301377647,12,7,1418,3455,366,72,118.16666666666667,88.63956352680343,2199,72,493.57142857142856,715.8515123648913,2199,72,256.4736842105263,475.972176146226,226549.51246537396,240,140,20,3,0.10050955555555556,1.745458,0.0,0.39907759308814206,1.809172,1.745458,0.0,0.16447018181818185,0.500117692143799,1.809156,1.788658,5.2e-05,0.301526,0.6650718661139813,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.4736842105263,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.16666666666667,493.57142857142856,0,12,7,1418,3455
172.21.0.5,172.21.0.3,46018,8443,2048,2026-01-25 17:59:46,1.05323,4626.719709844952,18.039744405305584,11.393522782298263,6.646221623007319,12,7,1418,3455,366,72,118.16666666666667,88.63956352680343,2199,72,493.57142857142856,715.8515123648913,2199,72,256.4736842105263,475.972176146226,226549.51246537396,240,140,20,3,0.058512777777777775,0.944254,0.0,0.215263646250245,1.05323,0.944254,0.0,0.0957481818181818,0.26881803312407115,1.053216,0.987058,4e-05,0.17553600000000003,0.3632611368418959,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,256.4736842105263,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.16666666666667,493.57142857142856,0,12,7,1418,3455
172.21.0.5,172.21.0.3,46050,8443,2048,2026-01-25 17:59:48,0.047973,64869.82260855064,396.0561148979634,250.14070414608216,145.91541075188127,12,7,1834,1278,637,72,152.83333333333334,169.02309178202705,335,72,182.57142857142858,107.22853717025832,637,72,163.78947368421052,149.9510723526944,22485.324099722995,240,140,20,3,0.002665166666666667,0.042588,0.0,0.009703066801847295,0.047973,0.042693,0.0,0.004361181818181819,0.0121442336845568,0.047952999999999996,0.046296,4.2e-05,0.007992166666666667,0.017131078107897612,3,4,0,0,2,3,0,7,17,0,0,0.5833333333333334,163.78947368421052,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.83333333333334,182.57142857142858,0,12,7,1834,1278
172.21.0.5,172.21.0.3,46054,8443,2048,2026-01-25 17:59:48,0.043269,68339.92003512908,392.89098430747185,231.11234371027754,161.77864059719428,10,7,1657,1300,637,72,165.7,177.23772171860028,335,72,185.71428571428572,107.25765278819341,637,72,173.94117647058823,152.6840145676628,23312.40830449827,200,140,20,3,0.0027043124999999997,0.040857,0.0,0.009853689313645105,0.043269,0.040966,0.0,0.0048076666666666676,0.012786909434608853,0.043251,0.04171,3.5e-05,0.0072085,0.015430661411078052,3,4,0,0,2,3,0,7,15,0,0,0.7,173.94117647058823,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.7,185.71428571428572,0,10,7,1657,1300
172.21.0.5,172.21.0.3,46070,8443,2048,2026-01-25 17:59:49,0.043343,66354.42862746003,392.22019703296957,230.71776296057033,161.50243407239924,10,7,1556,1320,637,72,155.6,169.25968214551273,335,72,188.57142857142858,107.70575942002776,637,72,169.1764705882353,147.96034257793048,21892.262975778547,200,140,20,3,0.0027089375000000004,0.040724,0.0,0.009817742908051411,0.043343,0.040954,0.0,0.004815888888888889,0.012778992191565761,0.043322,0.041454,2.7e-05,0.007220333333333332,0.01531122392959564,3,4,0,0,2,3,0,7,15,0,0,0.7,169.1764705882353,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.6,188.57142857142858,0,10,7,1556,1320
172.21.0.5,172.21.0.3,46078,8443,2048,2026-01-25 17:59:49,0.042819,69268.31546743268,397.0200144795534,233.5411849879726,163.47882949158083,10,7,1688,1278,637,72,168.8,180.6376483460743,335,72,182.57142857142858,107.22853717025832,637,72,174.47058823529412,154.83696079769115,23974.484429065742,200,140,20,3,0.0026761875,0.040765,0.0,0.009836213055711215,0.042818999999999996,0.040864,0.0,0.004757666666666667,0.01276723942144285,0.042800000000000005,0.041334,2.9e-05,0.007133333333333334,0.015296294569455558,3,4,0,0,2,3,0,7,15,0,0,0.7,174.47058823529412,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.8,182.57142857142858,0,10,7,1688,1278
172.21.0.5,172.21.0.3,46082,8443,2048,2026-01-25 17:59:49,0.083579,35415.59482645162,203.40037569245862,119.64727981909331,83.75309587336533,10,7,1684,1276,637,72,168.4,180.17558103139282,335,72,182.28571428571428,107.25632087362935,637,72,174.11764705882354,154.5303634176568,23879.633217993083,200,140,20,3,0.0052236875,0.042925,0.0,0.013520749409328011,0.083579,0.042925,0.0,0.009286555555555555,0.016974438724879574,0.08355800000000001,0.043203,2.7e-05,0.013926333333333332,0.019420826936278716,3,4,0,0,2,3,0,7,15,0,0,0.7,174.11764705882354,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.4,182.28571428571428,0,10,7,1684,1276
172.21.0.5,172.21.0.3,46094,8443,2048,2026-01-25 17:59:49,0.041455,71282.11313472441,410.08322277168014,241.22542515981186,168.8577976118683,10,7,1655,1300,637,72,165.5,177.03290654564762,335,72,185.71428571428572,107.25765278819341,637,72,173.8235294117647,152.55056453676082,23271.67474048443,200,140,20,3,0.0025909375,0.039635,0.0,0.009565998604881443,0.041455,0.039727,0.0,0.004606111111111111,0.012418435376885308,0.041436,0.040108,2.6e-05,0.006905999999999999,0.014849456477146448,3,4,0,0,2,3,0,7,15,0,0,0.7,173.8235294117647,64240,65160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.5,185.71428571428572,0,10,7,1655,1300
